year,st_nm,heatwave_days,median_wbt
2010,Chhattisgarh,44,23.2364685
2010,Dadara & Nagar Havelli,51,21.770264
2010,Goa,38,20.136639
2010,Gujarat,58,23.525877
2010,Haryana,30,24.075015999999998
2010,Himachal Pradesh,44,11.326829
2010,Jammu & Kashmir,28,9.707028000000001
2010,Jharkhand,45,23.23442
2010,Karnataka,50,20.864852499999998
2010,Kerala,44,19.8917635
2010,Madhya Pradesh,45,22.844513
2010,Maharashtra,49,22.608622
2010,Manipur,9,16.735203
2010,Meghalaya,7,17.480871
2010,Mizoram,19,18.586317
2010,NCT of Delhi,37,24.256826
2010,Nagaland,8,16.153287
2010,Odisha,52,23.453816500000002
2010,Puducherry,39,20.73614
2010,Punjab,22,24.4060375
2010,Rajasthan,38,24.2924505
2010,Sikkim,14,5.57532
2010,Tamil Nadu,59,22.173073
2010,Telangana,54,24.0260515
2010,Tripura,12,20.7088125
2010,Uttar Pradesh,45,23.839104
2010,Uttarakhand,41,13.237016
2010,West Bengal,52,22.691139999999997
2011,Andaman & Nicobar Island,4,16.8293525
2011,Andhra Pradesh,18,22.7691685
2011,Arunanchal Pradesh,22,11.707455249999999
2011,Assam,18,20.358186
2011,Bihar,13,22.707047
2011,Chandigarh,14,22.009026499999997
2011,Chhattisgarh,23,22.523495
2011,Dadara & Nagar Havelli,28,20.967063500000002
2011,Goa,11,19.699638
2011,Gujarat,25,22.969507
2011,Haryana,16,23.76143
2011,Himachal Pradesh,29,11.361812
2011,Jammu & Kashmir,35,10.436815
2011,Jharkhand,20,22.1389965
2011,Karnataka,3,20.235739
2011,Kerala,20,19.390708
2011,Madhya Pradesh,32,22.569572
2011,Maharashtra,24,22.0367955
2011,Manipur,14,16.569854499999998
2011,Meghalaya,18,17.93853
2011,Mizoram,10,18.095750000000002
2011,NCT of Delhi,13,24.1191
2011,Nagaland,10,16.5308105
2011,Odisha,14,22.378897000000002
2011,Puducherry,24,20.1844865
2011,Punjab,21,23.653803
2011,Rajasthan,30,24.146009
2011,Sikkim,12,5.349902849999999
2011,Tamil Nadu,22,21.4863165
2011,Telangana,17,23.339188
2011,Tripura,8,20.6798715
2011,Uttar Pradesh,18,23.261324000000002
2011,Uttarakhand,16,12.964611999999999
2011,West Bengal,13,21.243711
2012,Andaman & Nicobar Island,21,16.926811
2012,Andhra Pradesh,33,23.270937
2012,Arunanchal Pradesh,21,12.0045805
2012,Assam,15,20.56868
2012,Bihar,49,24.655556
2012,Chandigarh,26,22.276972999999998
2012,Chhattisgarh,31,23.050896
2012,Dadara & Nagar Havelli,10,21.0021305
2012,Goa,10,19.60804
2012,Gujarat,20,23.020652
2012,Haryana,32,24.38805
2012,Himachal Pradesh,28,10.995897
2012,Jammu & Kashmir,10,10.010926000000001
