,state_ut,year,deaths,heatwave_days,median_wbt
353,Jharkhand,2013,42,25,22.370178
354,Karnataka,2013,6,27,20.719585
355,Kerala,2013,1,38,19.0295585
356,Madhya Pradesh,2013,12,26,22.748545
357,Maharashtra,2013,80,30,22.1319055
358,Manipur,2013,0,23,16.558706
359,Meghalaya,2013,0,28,17.754863999999998
360,Mizoram,2013,1,15,18.38105
361,Nagaland,2013,0,22,16.8595525
362,Odisha,2013,101,31,23.32509
363,Punjab,2013,144,28,24.4361165
364,Rajasthan,2013,40,23,24.127413
365,Sikkim,2013,0,18,5.415614250000001
366,Tamil Nadu,2013,0,49,22.16291
367,Tripura,2013,12,31,20.747578
368,Uttar Pradesh,2013,108,24,23.9284075
369,Uttarakhand,2013,0,19,13.61205
370,West Bengal,2013,45,16,22.305319
371,Chandigarh,2013,0,21,22.615837
372,Jammu & Kashmir,2013,3,20,10.9370405
373,Puducherry,2013,0,32,20.598655
374,Andhra Pradesh,2014,372,34,22.914724
375,Assam,2014,0,32,19.7192735
376,Bihar,2014,131,38,23.562699
377,Chhattisgarh,2014,4,23,23.663742
378,Goa,2014,0,28,20.1125
379,Gujarat,2014,45,35,23.809122
380,Haryana,2014,79,35,24.083828
381,Himachal Pradesh,2014,1,21,11.479761
382,Jharkhand,2014,50,24,22.9962005
383,Karnataka,2014,2,28,20.766038
384,Kerala,2014,0,34,20.070661
385,Madhya Pradesh,2014,33,22,23.7318835
386,Maharashtra,2014,58,33,22.419613
387,Manipur,2014,0,29,16.541512
388,Meghalaya,2014,2,26,17.433386
389,Mizoram,2014,0,35,18.82335
390,Nagaland,2014,0,14,16.193298499999997
391,Odisha,2014,78,33,22.898352
392,Punjab,2014,123,34,24.313359
393,Rajasthan,2014,45,38,24.129569
394,Sikkim,2014,0,17,5.3058157
395,Tamil Nadu,2014,0,66,22.0685305
396,Tripura,2014,2,39,21.197681
397,Uttar Pradesh,2014,126,39,23.70503
398,Uttarakhand,2014,0,35,13.201224
399,West Bengal,2014,88,47,22.867762
400,Chandigarh,2014,0,29,22.456686
401,Jammu & Kashmir,2014,0,22,10.3487685
402,Puducherry,2014,0,56,20.636141
403,Andhra Pradesh,2015,836,22,23.626529
404,Assam,2015,0,16,20.271864
405,Bihar,2015,86,31,23.521444
406,Chhattisgarh,2015,2,27,24.041744
407,Goa,2015,0,21,19.762585
408,Gujarat,2015,52,45,23.770956
409,Haryana,2015,34,17,24.140396
410,Himachal Pradesh,2015,0,39,10.938225
411,Jharkhand,2015,96,31,23.493242
412,Karnataka,2015,0,25,20.718279
413,Kerala,2015,1,17,19.613169
414,Madhya Pradesh,2015,24,43,22.833672
415,Maharashtra,2015,61,44,22.5360125
416,Manipur,2015,0,16,16.344428
417,Meghalaya,2015,0,13,17.746868
418,Mizoram,2015,0,17,18.8482
419,Nagaland,2015,0,14,16.327574499999997
420,Odisha,2015,60,21,23.9302
421,Punjab,2015,99,19,23.317007
422,Rajasthan,2015,41,26,24.614282
423,Sikkim,2015,0,7,5.3321457
424,Tamil Nadu,2015,0,12,21.7359475
425,Tripura,2015,0,17,20.871946
426,Uttar Pradesh,2015,487,37,24.091526
427,Uttarakhand,2015,0,27,13.455428
428,West Bengal,2015,28,24,22.0899575
429,Chandigarh,2015,0,28,22.028092
430,Jammu & Kashmir,2015,1,34,10.00526
431,Puducherry,2015,0,20,20.225336
432,Andhra Pradesh,2016,528,49,23.354717
433,Assam,2016,6,33,20.225414
434,Bihar,2016,85,30,23.1531365
435,Chhattisgarh,2016,9,49,23.118818
436,Goa,2016,0,40,19.863564500000003
437,Gujarat,2016,32,43,23.522945
438,Haryana,2016,76,39,24.02451
439,Himachal Pradesh,2016,0,26,11.1215675
440,Jharkhand,2016,45,50,22.2287755
441,Karnataka,2016,17,66,20.886461
442,Kerala,2016,4,79,20.07893
443,Madhya Pradesh,2016,26,44,23.4348205
444,Maharashtra,2016,96,51,22.682465
